time,x,y,z,yaw,throttle,roll_rate,pitch_rate,yaw_rate,x_ref,y_ref,z_ref,yaw_ref,mpc_time,metadata
3.5762786865234375e-06,-0.10180503129959106,-0.08672547340393066,-0.24243010580539703,-0.014429681971387805,-0.5699901062882881,0.5912437433415484,-0.5953160555114263,0.09275325061070731,0.0,0.0,-0.6,0.0,0.01754474639892578,Hardware
0.023073911666870117,-0.10180503129959106,-0.08672547340393066,-0.24243010580539703,-0.014429681971387805,-0.5699901062882881,0.5912437433415484,-0.5953160555114263,0.09275325061070731,0.0,0.0,-0.6,0.0,0.002007007598876953,Horizon:3.0
0.03231191635131836,-0.10180237144231796,-0.08674415946006775,-0.24239614605903625,-0.014482857365965478,-0.5700469514364004,0.5904674299278766,-0.5963400536006055,0.09308580807554784,0.0,0.0,-0.6,0.0,0.006600618362426758,Num Steps:20
0.04688715934753418,-0.10180237144231796,-0.08674415946006775,-0.24239614605903625,-0.014482857365965478,-0.5700469514364004,0.5904674299278766,-0.5963400536006055,0.09308580807554784,0.0,0.0,-0.6,0.0,0.001203775405883789,No Pyjoules
0.05482316017150879,-0.10181613266468048,-0.08675400912761688,-0.24237267673015594,-0.014463781539600347,-0.5704511917650271,0.5863865052171491,-0.5952832417982358,0.09297489605971895,0.0,0.0,-0.6,0.0,0.009148836135864258,0
0.07136940956115723,-0.10181613266468048,-0.08675400912761688,-0.24237267673015594,-0.014463781539600347,-0.5704511917650271,0.5863865052171491,-0.5952832417982358,0.09297489605971895,0.0,0.0,-0.6,0.0,0.0012106895446777344,0
0.08121156692504883,-0.10183732211589813,-0.08676207065582275,-0.2423611432313919,-0.014396731775016778,-0.569951132730763,0.5896468355554485,-0.6068999166480024,0.09253676725444188,0.0,0.0,-0.6,0.0,0.008461713790893555,0
0.09696531295776367,-0.10183732211589813,-0.08676207065582275,-0.2423611432313919,-0.014396731775016778,-0.569951132730763,0.5896468355554485,-0.6068999166480024,0.09253676725444188,0.0,0.0,-0.6,0.0,0.001744985580444336,0
0.1061103343963623,-0.10176576673984528,-0.08678800612688065,-0.24242542684078217,-0.01392200375798615,-0.5693185239617794,0.581188208496609,-0.5346355452267929,0.08954843379057234,0.0,0.0,-0.6,0.0,0.008524417877197266,0
0.12205743789672852,-0.10176576673984528,-0.08678800612688065,-0.24242542684078217,-0.01392200375798615,-0.5693185239617794,0.581188208496609,-0.5346355452267929,0.08954843379057234,0.0,0.0,-0.6,0.0,0.0017807483673095703,0
0.13186120986938477,-0.10140109062194824,-0.08681987226009369,-0.2425318956375122,-0.013666982483468912,-0.5685743671618382,0.5915387457965198,-0.45903795048269946,0.08800248983131231,0.0,0.0,-0.6,0.0,0.008481979370117188,0
0.1484694480895996,-0.10140109062194824,-0.08681987226009369,-0.2425318956375122,-0.013666982483468912,-0.5685743671618382,0.5915387457965198,-0.45903795048269946,0.08800248983131231,0.0,0.0,-0.6,0.0,0.0012083053588867188,0
0.15733599662780762,-0.10079307854175568,-0.08675722777843475,-0.24279065430164337,-0.013836073722628283,-0.566583923093079,0.5240925519824907,-0.3624316936963311,0.0891251984994856,0.0,0.0,-0.6,0.0,0.007566213607788086,0
0.17319440841674805,-0.09919781982898712,-0.08630265295505524,-0.2439521998167038,-0.01222903151468388,-0.5604360959355882,0.4262823976294361,-0.17875932095349942,0.07896800011344077,0.0,0.0,-0.6,0.0,0.007986783981323242,0
0.18944525718688965,-0.09919781982898712,-0.08630265295505524,-0.2439521998167038,-0.01222903151468388,-0.5604360959355882,0.4262823976294361,-0.17875932095349942,0.07896800011344077,0.0,0.0,-0.6,0.0,0.0015194416046142578,0
0.2008953094482422,-0.09754608571529388,-0.08564745634794235,-0.2457331418991089,-0.010716133784325267,-0.5545247973126226,0.33632583915138176,0.010149254650181497,0.06940494045791036,0.0,0.0,-0.6,0.0,0.007169485092163086,0
0.21421337127685547,-0.09754608571529388,-0.08564745634794235,-0.2457331418991089,-0.010716133784325267,-0.5545247973126226,0.33632583915138176,0.010149254650181497,0.06940494045791036,0.0,0.0,-0.6,0.0,0.0013425350189208984,0
0.22436165809631348,-0.09503449499607086,-0.08446004986763,-0.24887269735336304,-0.00821585453337173,-0.5479297123017851,0.12711388140455768,0.17427241114100675,0.05332748484587465,0.0,0.0,-0.6,0.0,0.008108854293823242,0
0.2401893138885498,-0.09503449499607086,-0.08446004986763,-0.24887269735336304,-0.00821585453337173,-0.5479297123017851,0.12711388140455768,0.17427241114100675,0.05332748484587465,0.0,0.0,-0.6,0.0,0.0013875961303710938,0
0.2501685619354248,-0.0929236114025116,-0.08324548602104187,-0.2518053650856018,-0.0059871842775678615,-0.5439882709838121,-0.04328272845387479,0.3415698760942966,0.03899790001034316,0.0,0.0,-0.6,0.0,0.007181882858276367,0
0.26350975036621094,-0.0929236114025116,-0.08324548602104187,-0.2518053650856018,-0.0059871842775678615,-0.5439882709838121,-0.04328272845387479,0.3415698760942966,0.03899790001034316,0.0,0.0,-0.6,0.0,0.0011451244354248047,0
0.27202534675598145,-0.09106232970952988,-0.08201676607131958,-0.2547816336154938,-0.003396669978308251,-0.5391729256497885,-0.1737888152546862,0.47259317496947645,0.02244548116557383,0.0,0.0,-0.6,0.0,0.005726814270019531,0
0.2834467887878418,-0.09106232970952988,-0.08201676607131958,-0.2547816336154938,-0.003396669978308251,-0.5391729256497885,-0.1737888152546862,0.47259317496947645,0.02244548116557383,0.0,0.0,-0.6,0.0,0.0011372566223144531,0
